STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,ACTIVITY,Economic activity,POLLUTANT,Pollutants,ACTIVITY_SCOPE,Activity scope,METHODOLOGY,Methodology,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2014,,42707310.17,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2015,,42237493.81,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2016,,40915932.48,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2017,,46842526.68,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2018,,48825298.28,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2019,,47830279.91,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2020,,37125633.45,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2021,,40746138.98,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2022,,40746138.98,,E,Estimated value,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2008,,767843.61,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2009,,848064.25,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2010,,865632.35,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2011,,722522.91,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2012,,783552.93,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2013,,736882.47,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2014,,684521.81,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2015,,740786.35,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2016,,770004.17,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2017,,797305.45,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2018,,822167.37,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2019,,846552.77,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2020,,716887.34,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2021,,790310.82,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2022,,689400.15,,E,Estimated value,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,C,Manufacturing,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2008,,118738687.02,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,C,Manufacturing,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2009,,100182493.37,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,C,Manufacturing,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2010,,106136530.07,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,C,Manufacturing,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2011,,100584900.89,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,C,Manufacturing,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2012,,94551308.71,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,C,Manufacturing,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2013,,96332435.16,,,,,,0,Zero
